ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
v_subj(1.1).27          -0.0690471    0.424171    -0.768406   -0.238966  -0.0932378   0.0504573   0.773381    0.0129463
v_subj(1.2).27           0.0148879    0.647382      -1.5168   -0.070624   0.0596717    0.180768      1.193    0.0236907
v_subj(1.0).28             1.70473    0.142846       1.4434     1.60533     1.70525      1.7998     1.9905   0.00353843
v_subj(1.1).28              1.9376    0.265675      1.49799     1.74673     1.90283     2.10103    2.50809    0.0146492
v_subj(1.2).28             2.06759    0.154054      1.77303     1.95913     2.06857       2.171    2.36762   0.00450965
v_subj(1.0).29             1.02452   0.0847191     0.865537     0.96541     1.02368     1.08206    1.18904   0.00248372
v_subj(1.1).29            0.900445   0.0847909     0.740029    0.840959    0.902268    0.957838     1.0684   0.00205654
v_subj(1.2).29            0.305139    0.337726   -0.0383191     0.12484    0.209508    0.360449    1.26551    0.0138075
v_subj(1.0).30             1.89189    0.125026      1.64478     1.80644      1.8907     1.97816    2.13608    0.0032959
v_subj(1.1).30             2.45041     0.14173      2.19058     2.35629     2.44854     2.54107     2.7449   0.00546019
v_subj(1.2).30             2.26357    0.170309      1.96515     2.14946     2.25313     2.36998    2.64219   0.00579359
v_subj(1.0).31             1.45006    0.121562      1.22203     1.36574     1.44304     1.52787    1.70485   0.00491276
v_subj(1.1).31             2.10523    0.162865      1.79629     1.99244     2.10339     2.21489    2.43054   0.00769235
v_subj(1.2).31             1.67091    0.109835      1.47105     1.59327      1.6637     1.74213    1.89708   0.00446109
v_subj(1.0).32            0.363624    0.614156    -0.264835  -0.0795805     0.12333    0.705896    1.87906     0.040014
v_subj(1.1).32            0.255806    0.273671   -0.0764538      0.1341    0.212639    0.317936   0.888445    0.0077141
v_subj(1.2).32            0.253685    0.577333    -0.772322  0.00584993    0.132061    0.415218      1.497    0.0174644
v_subj(1.0).33            0.304366   0.0892543     0.164386    0.247541    0.297265    0.347912   0.513904   0.00316113
v_subj(1.0).34            0.311583    0.485297    -0.136254   0.0655557    0.171874    0.407144    1.64121    0.0261588
v_subj(1.0).35            0.871971    0.496253     0.343272    0.494133    0.659491     1.17456    2.06977    0.0389354
v_subj(1.0).36             2.64416     0.17003      2.30738     2.53344     2.64415     2.75795    2.98601   0.00733396
v_subj(1.0).37             1.59368   0.0926816      1.40755     1.53378     1.59368     1.65607    1.77194    0.0030342
v_subj(1.0).38             1.90112     0.14498       1.6282     1.79637     1.89916     1.99591    2.20663   0.00506398
t(0.0)                    0.415924   0.0582238     0.308213    0.376525    0.414491    0.452708   0.532529   0.00141077
t(0.2)                    0.347446   0.0528492     0.244876    0.312638    0.346397    0.380509   0.458746   0.00138261
t(1.0)                    0.309561   0.0335394     0.247198    0.286831     0.30768    0.330424   0.379636   0.00109199
t(1.1)                    0.369662   0.0361865     0.300594    0.344541    0.368263    0.392799   0.443771   0.00105267
t(1.2)                    0.332758   0.0341363     0.266233    0.308843    0.331148     0.35611   0.403363   0.00110342
t_std                     0.250978   0.0240614     0.211454    0.233785    0.248206     0.26583   0.304697  0.000970833
t_subj(0.0).39            0.182452  0.00722419     0.169551     0.17715    0.182128    0.187893   0.195797  0.000289543
